,title,description,tags,release_date,ISBN_number,publisher,author_name,author_birth_year,pages,related_courses,format,rating,edition,title_corrected,description_corrected
102,The Art of Progamming,A comprehensive guide to mastering programming languages and algorithms.,"['programming', 'algorithms', 'education']",2020-08-15,978-1-23456-789-0,TechPub,Xavier Leet,1985.0,350.0,,,,,The Art of Programming,A comprehensive guide to mastering programming languages and algorithms .
103,Cybersecurity Fundementals,An introductory book on cybersecurity principles and best practices for IT professionals.,"['cybersecurity', 'IT', 'networking']",2018-05-20,978-0-98765-432-1,SecurePress,Xavier Leet,1985.0,250.0,,,,,Cybersecurity Fundamentals,An introductory book on cybersecurity principles and best practices for IT professionals .
104,Data Science Essentials,Exploring the core concepts and techniques in data science for educational purposes.,"['data science', 'analytics', 'big data']",2019-11-10,978-6-54321-098-7,DataWorks,Xavier Leet,1985.0,300.0,,,,,Data Science Essentials,Exploring the core concepts and techniques in data science for educational purposes .
105,Data Science Fundament@ls,"Exploring the basics of data science, including statistical analysis, machine learning, and data visualization techniques.","['data science', 'statistical analysis', 'machine learning', 'data visualization']",2020-08-20,978-6-7890-1234-5,DataWorks Ltd.,Xavier Leet,1985.0,,,,,,Data Science Fundamental @ ls,"Exploring the basics of data science , including statistical analysis , machine learning , and data visualization techniques ."
106,The Art of Computer Science,A comprehensive guide to computer science principles and practices.,"['computer science', 'algorithms', 'programming']",2020-08-15,978-0-13-407643-4,TechPub,Xavier Smith,1985.0,350.0,,,,,The Art of Computer Science,A comprehensive guide to computer science principles and practices .
107,Cybersecurity Fundamentals,An introductory book on cybersecurity for beginners.,"['cybersecurity', 'network security', 'data protection']",2018-05-20,978-1-119-50458-2,SecurePress,Xavier Smith,1985.0,250.0,,,,,Cybersecurity Fundamentals,An introductory book on cybersecurity for beginners .
108,Data Analytics Essentials,A practical approach to understanding and applying data analytics in IT education.,"['data analytics', 'big data', 'data visualization']",2019-11-10,978-0-13-340715-6,DataWorks,Xavier Smith,1985.0,300.0,,,,,Data Analytics Essentials,A practical approach to understanding and applying data analytics in IT education .
109,Infomation Technology Project Management,This book provides practical insights into managing IT projects effectively.,"['project management', 'IT', 'practical']",2016-03-20,978-1285452340,,Xavier Smith,1985.0,,,,,,Information Technology Project Management,This book provides practical insights into managing IT projects effectively .
110,Data Analytics: A Practical Approach,Practical insights into data analytics with real-world examples and case studies.,"['data', 'analytics', 'practical', 'case', 'studies']",2018-02-28,978-0-2468101-2-3,AnalytixPress,Xavier Smith,1985.0,280.0,,,,,Data Analytics : A Practical Approach,Practical insights into data analytics with real - world examples and case studies .
111,The Art of Computer Science,A comprehensive guide to computer science principles and practices.,"['computer science', 'programming', 'algorithms']",2020-05-15,978-1-2345-6789-0,TechPub,Xaiver Jhons,1975.0,350.0,,,,,The Art of Computer Science,A comprehensive guide to computer science principles and practices .
112,Cybersecurity Fundamentals,An introductory book on cybersecurity for beginners.,"['cybersecurity', 'network security', 'information security']",2018-10-20,978-0-9876-5432-1,SecureBooks,Xaiver Jhons,1975.0,200.0,,,,,Cybersecurity Fundamentals,An introductory book on cybersecurity for beginners .
113,Data Analytics Essentials,Exploring the fundamentals of data analytics and its applications.,"['data analytics', 'big data', 'data visualization']",2019-03-12,978-6-7890-1234-5,DataInsights,Xaiver Jhons,1975.0,280.0,,,,,Data Analytics Essentials,Exploring the fundamentals of data analytics and its applications .
114,The Art of Progamming,A comprehensive guide to modern programming practices and methodologies.,"['progrmming', 'methodolgies', 'software development']",2022-05-15,978-3-16-148410-0,TechBooks Inc.,Xavier van der Berg,1978.0,,,,,,The Art of Programming,A comprehensive guide to modern programming practices and methodologies .
115,Cybersecurity Essentials,An introductory book covering the essentials of cybersecurity for beginners.,"['cybersecurity', 'network security', 'data protection']",2019-10-28,978-1-25-678902-4,InfoSec Publications,Xavier van der Berg,1978.0,,,,,,Cybersecurity Essentials,An introductory book covering the essentials of cybersecurity for beginners .
116,Data Science Fundamentals,A practical approach to understanding data science concepts and applications in IT education.,"['data science', 'analytics', 'machine learning']",2017-06-12,978-5-33-901267-6,BigData Press,Xavier van der Berg,1978.0,,,,,,Data Science Fundamentals,A practical approach to understanding data science concepts and applications in IT education .
117,The Fundamentls of Computer Science,"This book covers the basics of computer science including algorithms, data structures, and programming languages.","['computer science', 'algorithms', 'programming languages']",2020-08-15,978-1-2345-6789-0,TechPub,Jennifir Smith,,,,,,,The Fundamentals of Computer Science,"This book covers the basics of computer science including algorithms , data structures , and programming languages ."
118,Netwroking Essentials,A comprehensive guide to networking essentials for IT students and professionals.,"['networking', 'IT essentials', 'data communication']",2018-05-20,978-0-5432-1987-6,InfoBooks Inc.,Jennifir Smith,,,,,,,Networking Essentials,A comprehensive guide to networking essentials for IT students and professionals .
119,The Art of Computer Science,A compreensive guide to computer science principles and practices.,"['computer', 'science', 'guide']",2015-08-20,978-0-13-359414-0,,Jennifir Smith,,,"['Algorithms', 'Data Structures']",,,,The Art of Computer Science,A comprehensive guide to computer science principles and practices .
120,Networking Essentials for Students,"A practical approach to understanding networking concepts and protocols, with hands-on exercises for students.","['networking', 'protocols', 'hands-on']",2018-05-20,978-1-23-456789-0,EduTech Publications,Jennifir Smith,,,,,,,Networking Essentials for Students,"A practical approach to understanding networking concepts and protocols , with hands - on exercises for students ."
121,The Art of Computer Science,A comprehensive guide to computer science principles and practices.,"['computer science', 'algorithms', 'programming']",2020-05-15,978-3-16-148410-0,,Xavier Montogmery,1978.0,,,,,,The Art of Computer Science,A comprehensive guide to computer science principles and practices .
122,Netwroking Essentials,An in-depth look at networking essentials for IT professionals.,"['networking', 'IT infrastructure', 'data transmission']",2018-10-22,978-1-25-607510-4,,Xavier Montogmery,1978.0,,,,,,Networking Essentials,An in - depth look at networking essentials for IT professionals .
123,Cybersecurity Fundementals,A beginner's guide to cybersecurity fundamentals and best practices.,"['cybersecurity', 'information security', 'risk management']",2019-04-30,978-0-78-975820-2,,Xavier Montogmery,1978.0,,,,,,Cybersecurity Fundamentals,A beginner ' s guide to cybersecurity fundamentals and best practices .
124,Cybersecurity Fundementals,A beginner's guide to cybersecurity concepts and best practices.,"['cybersecurity', 'information security', 'threat detection']",2019-04-12,978-3-2109-8765-4,SecurePress,Xavier Montogmery,1978.0,240.0,,,,,Cybersecurity Fundamentals,A beginner ' s guide to cybersecurity concepts and best practices .
125,The Art of Infrmation Technology Education,"A comprehensive guide to teaching IT concepts in the classroom, covering topics such as programming, networking, and cybersecurity.","['education', 'IT', 'teaching', 'classroom']",2015-08-20,978-1-2345-6789-0,TechEd Publishing,Lysa Ganger,1982.0,,,,,,The Art of Information Technology Education,"A comprehensive guide to teaching IT concepts in the classroom , covering topics such as programming , networking , and cybersecurity ."
126,Coding for Beginners: A Practical Approach,"This book offers a hands-on approach to learning coding, suitable for beginners and educators alike.","['coding', 'beginners', 'hands-on', 'educators']",2020-03-10,978-0-5432-1987-6,CodeMasters Press,Lysa Ganger,1982.0,,,,,,Coding for Beginners : A Practical Approach,"This book offers a hands - on approach to learning coding , suitable for beginners and educators alike ."
127,Network Security Fundamentals,An essential resource for understanding the principles of network security and implementing best practices.,"['network', 'security', 'fundamentals', 'best practices']",2018-11-25,978-6-7890-1234-5,SecureNet Books,Lysa Ganger,1982.0,,,,,,Network Security Fundamentals,An essential resource for understanding the principles of network security and implementing best practices .
128,Cybersecurity Essentials: A Practical Approach to IT Security,"A practical guide to cybersecurity fundamentals, covering topics such as network security, cryptography, and risk management.","['cybersecurity', 'network security', 'cryptography', 'risk management']",2018-11-20,978-1-23-456789-0,SecurePress,Lysa Ganger,1982.0,,,,,,Cybersecurity Essentials : A Practical Approach to IT Security,"A practical guide to cybersecurity fundamentals , covering topics such as network security , cryptography , and risk management ."
129,The Art of Coding: A Comprehensive Guide,"This book covers a wide range of programming languages and their applications in educational settings, from Python to Java.","['programming', 'education', 'languages']",2020-07-15,978-3-16-148410-0,TechEd Press,Xavier Smith,,,,,,,The Art of Coding : A Comprehensive Guide,"This book covers a wide range of programming languages and their applications in educational settings , from Python to Java ."
130,Networking Essentials for Students,"A practical approach to understanding networking concepts and protocols, with hands-on exercises for students.","['networking', 'protocols', 'hands-on']",2018-05-20,978-1-23-456789-0,EduTech Publications,Xavier Smith,,,,,,,Networking Essentials for Students,"A practical approach to understanding networking concepts and protocols , with hands - on exercises for students ."
